depth;age;ch4
99.340;0.000;907.00
102.575;0.148;761.70
104.775;0.212;682.70
106.625;0.280;675.00
109.830;0.400;684.30
113.025;0.513;644.30
115.225;0.572;685.00
118.475;0.677;666.70
120.850;0.768;679.50
121.150;0.775;643.30
124.575;0.874;647.00
126.775;0.951;623.70
129.175;1.029;634.70
131.830;1.116;643.70
134.475;1.201;628.70
137.775;1.305;620.00
140.725;1.402;631.30
143.380;1.489;631.70
146.025;1.571;623.30
148.775;1.673;608.00
150.625;1.734;613.00
153.830;1.855;613.30
157.575;1.982;603.70
159.775;2.069;608.70
162.045;2.134;601.70
165.275;2.262;597.00
168.090;2.366;591.70
170.400;2.456;596.50
173.045;2.552;591.70
176.275;2.657;580.00
178.475;2.741;578.30
180.780;2.804;577.00
185.275;2.977;572.70
187.275;3.040;576.00
189.475;3.133;567.70
192.330;3.230;581.30
195.725;3.363;572.70
201.025;3.531;577.70
203.330;3.621;578.00
203.465;3.626;580.70
205.625;3.714;569.00
209.275;3.842;569.30
212.025;3.946;567.70
214.330;4.036;575.70
214.470;4.040;563.00
215.980;4.097;570.30
220.380;4.249;577.30
220.520;4.257;567.70
222.475;4.331;569.70
225.225;4.447;561.70
227.625;4.526;561.70
231.400;4.667;563.00
233.475;4.737;563.30
236.225;4.843;567.70
240.145;4.984;561.00
241.850;5.051;563.00
244.475;5.170;558.30
247.775;5.282;553.70
250.595;5.387;565.00
252.850;5.470;566.00
256.025;5.580;568.30
258.775;5.682;569.70
259.980;5.711;584.30
263.830;5.868;575.00
268.125;6.026;564.00
269.225;6.058;581.00
271.625;6.163;576.00
275.825;6.318;577.00
278.025;6.397;580.00
279.780;6.470;587.70
283.595;6.622;607.00
285.725;6.694;595.30
287.995;6.783;603.30
291.330;6.922;605.30
294.175;7.045;607.00
297.275;7.158;609.70
299.475;7.258;607.30
302.330;7.375;618.30
305.080;7.489;601.70
308.275;7.600;611.70
311.025;7.716;609.70
311.675;7.731;617.00
312.225;7.751;621.00
313.330;7.804;622.70
316.080;7.928;623.00
317.145;7.961;623.30
317.725;7.986;617.70
319.275;8.041;610.70
320.525;8.096;613.70
321.025;8.121;620.00
321.615;8.148;597.70
322.215;8.173;612.30
322.745;8.191;589.00
323.315;8.211;614.00
324.350;8.250;624.30
325.425;8.298;632.30
325.980;8.327;605.70
327.075;8.374;632.70
327.625;8.393;651.00
328.175;8.412;640.30
329.850;8.476;641.90
330.240;8.488;640.70
333.025;8.610;649.30
335.775;8.702;659.70
338.080;8.802;653.70
340.830;8.904;657.30
343.475;9.016;659.00
346.775;9.140;657.50
349.080;9.241;657.30
351.850;9.347;670.00
355.575;9.480;664.70
357.225;9.545;665.00
359.530;9.615;663.30
362.725;9.739;673.70
368.880;9.946;682.30
370.975;10.024;683.30
374.380;10.133;676.30
377.025;10.240;682.30
379.330;10.298;685.00
381.525;10.388;678.00
385.340;10.514;698.00
388.090;10.613;678.00
389.780;10.682;688.00
393.525;10.824;661.30
396.240;10.935;652.00
399.025;11.038;666.00
401.330;11.119;680.70
404.525;11.241;673.30
407.240;11.342;703.00
411.125;11.484;633.30
412.775;11.558;654.30
415.080;11.631;664.70
418.275;11.765;559.00
421.130;11.865;469.00
427.080;12.085;467.70
429.240;12.188;477.30
431.475;12.294;482.70
434.330;12.411;462.30
436.975;12.545;466.70
443.130;12.849;542.00
445.775;12.994;627.00
448.080;13.116;643.30
450.725;13.253;646.00
453.580;13.400;661.70
456.780;13.571;653.30
460.140;13.727;645.70
463.375;13.890;618.70
464.580;13.937;613.00
467.305;14.089;630.00
469.530;14.196;611.70
472.940;14.353;578.30
479.430;14.671;464.70
483.830;14.868;461.00
486.990;15.035;459.30
489.775;15.175;473.30
491.530;15.274;475.70
495.825;15.491;451.00
498.680;15.635;451.70
501.325;15.786;456.00
506.275;16.071;473.30
508.990;16.230;418.70
511.772;16.391;427.30
514.482;16.548;404.70
519.562;16.898;408.30
519.701;16.910;381.30
525.600;17.323;371.30
528.240;17.494;383.70
530.949;17.730;366.30
532.631;17.855;371.30
536.439;18.163;375.30
539.218;18.425;371.00
543.592;18.798;378.70
548.515;19.221;365.70
550.197;19.366;377.00
552.577;19.591;353.80
555.686;19.871;375.70
557.437;20.009;375.30
561.175;20.355;380.80
563.885;20.578;378.30
569.374;21.074;353.70
572.159;21.320;357.00
575.552;21.613;357.30
577.847;21.811;355.30
585.433;22.509;407.30
590.313;22.929;390.00
594.215;23.246;389.70
598.607;23.667;398.00
602.998;24.043;360.00
607.390;24.452;388.70
613.977;24.997;369.70
618.857;25.447;355.00
629.865;26.478;387.00
634.232;26.905;395.90
638.129;27.275;426.30
643.040;27.709;399.00
646.912;28.018;414.00
656.184;28.826;367.70
662.791;29.391;399.30
669.388;29.922;409.70
673.260;30.274;391.70
677.662;30.670;412.00
688.645;31.656;409.20
693.541;32.074;432.00
697.413;32.401;444.30
701.804;32.801;478.70
704.000;32.969;419.00
708.906;33.399;428.00
712.813;33.736;489.00
717.174;34.135;514.30
723.791;34.668;444.00
728.183;35.051;441.30
732.544;35.417;488.30
739.620;36.017;536.30
743.632;36.371;556.70
748.413;36.753;481.00
752.335;37.063;443.00
761.607;37.755;441.30
765.480;38.021;443.70
767.675;38.182;427.00
772.546;38.584;422.30
775.500;38.821;429.00
778.654;39.113;413.00
781.000;39.330;417.70
783.045;39.523;419.70
786.515;39.857;464.70
792.015;40.419;413.70
803.535;41.488;470.00
808.515;41.963;463.00
814.015;42.441;411.30
819.575;42.955;427.30
825.565;43.538;461.70
830.515;43.984;466.70
835.985;44.466;499.30
842.035;44.923;514.00
847.015;45.278;493.00
858.045;46.079;436.70
863.515;46.528;414.00
869.015;46.991;435.00
875.035;47.550;464.00
886.035;48.516;469.70
891.015;48.944;493.00
896.545;49.419;515.00
902.015;49.897;517.00
913.020;50.780;542.70
918.515;51.229;530.00
924.015;51.666;513.00
929.515;52.058;438.00
940.515;52.958;475.70
946.015;53.422;460.70
951.540;53.892;483.00
957.015;54.398;546.00
968.015;55.347;541.70
973.515;55.772;519.70
979.015;56.204;554.00
984.515;56.621;523.00
995.515;57.456;425.00
1001.015;57.870;426.30
1006.515;58.306;425.30
1012.015;58.769;431.70
1023.015;59.726;430.00
1028.515;60.250;444.00
1034.015;60.823;484.00
1039.510;61.422;434.00
1050.515;62.535;456.70
1056.505;63.189;444.00
1061.515;63.771;449.30
1067.015;64.390;452.70
1078.015;65.602;456.00
1083.515;66.234;460.00
1089.015;66.870;450.30
1094.515;67.509;472.70
1105.545;68.526;448.70
1111.015;69.008;432.00
1116.515;69.531;457.30
1122.015;70.108;447.70
1133.015;71.214;469.00
1138.515;71.696;476.70
1144.015;72.143;415.70
1149.515;72.599;424.30
1160.515;73.694;441.70
1166.015;74.239;472.00
1171.515;74.761;450.30
1177.015;75.311;477.00
1188.015;76.360;515.00
1193.515;76.872;536.00
1199.015;77.371;535.30
1204.515;77.853;549.30
1215.515;78.817;595.30
1221.015;79.266;605.50
1226.515;79.711;616.30
1232.015;80.142;629.30
1243.015;80.970;485.30
1248.515;81.389;464.00
1254.015;81.824;450.30
1259.515;82.283;452.30
1270.515;83.248;468.00
1276.015;83.754;448.00
1281.515;84.323;479.70
1287.015;84.917;502.30
1292.515;85.522;502.30
1298.015;86.109;493.70
1303.545;86.638;463.30
1309.015;87.169;445.00
1314.515;87.735;460.70
1325.515;88.923;447.30
1331.015;89.492;437.30
1336.515;90.033;439.00
1342.015;90.600;435.70
1353.015;91.697;436.30
1358.515;92.240;442.00
1364.015;92.747;453.00
1369.515;93.289;485.70
1380.515;94.395;491.00
1386.015;94.944;504.70
1391.515;95.490;511.30
1397.015;96.015;523.70
1408.015;97.126;530.30
1413.515;97.675;547.00
1419.015;98.193;547.00
1424.515;98.723;542.30
1435.515;99.831;472.30
1441.015;100.403;498.30
1446.515;101.005;559.00
1452.015;101.604;581.30
1463.015;102.843;617.70
1468.515;103.482;595.30
1474.015;104.139;483.00
1479.515;104.797;460.00
1490.515;106.182;507.70
1496.015;106.892;508.70
1501.515;107.580;504.70
1507.015;108.257;496.30
1518.015;109.620;455.00
1523.515;110.254;466.70
1529.015;110.875;470.70
1545.515;112.582;501.30
1551.015;113.140;501.00
1556.515;113.660;504.30
1562.015;114.156;543.70
1573.015;115.130;548.00
1578.515;115.591;578.70
1584.015;116.042;577.70
1590.035;116.563;590.70
1600.515;117.438;575.70
1606.015;117.893;590.70
1611.515;118.346;598.00
1617.015;118.785;613.00
1628.015;119.658;607.30
1633.515;120.078;599.00
1639.520;120.554;606.80
1644.515;120.959;615.00
1655.515;121.783;621.30
1661.535;122.291;632.00
1666.515;122.711;641.70
1672.015;123.172;646.70
1683.015;124.138;659.70
1688.515;124.578;651.30
1694.015;125.007;646.00
1699.515;125.420;677.00
1710.515;126.137;715.00
1716.015;126.476;722.30
1721.530;126.832;644.00
1727.015;127.194;536.70
1738.015;127.922;515.00
1744.010;128.360;499.30
1749.015;128.750;518.00
1754.515;129.199;493.00
1765.515;130.197;461.30
1771.015;130.784;460.30
1776.530;131.459;506.30
1782.015;132.160;436.30
1793.490;134.037;408.70
1799.560;135.172;394.70
1804.565;136.117;405.70
1809.515;137.087;432.30
1820.515;139.317;359.00
1826.490;140.535;375.30
1831.545;141.523;401.30
1837.015;142.580;375.30
1848.485;144.821;421.00
1853.515;145.778;470.70
1859.485;146.917;432.70
1864.515;147.867;404.30
1875.985;149.908;425.70
1881.030;150.843;401.50
1886.515;151.954;393.30
1892.015;153.126;406.70
1903.015;155.551;410.00
1908.515;156.700;440.00
1914.015;157.664;415.30
1919.975;158.817;423.70
1930.515;160.887;417.00
1936.030;162.050;383.50
1941.515;163.268;433.00
1947.015;164.467;479.30
1958.015;166.589;478.00
1963.530;167.683;447.50
1969.015;168.875;480.00
1974.515;169.988;433.00
1985.518;172.323;471.30
1991.015;173.551;499.00
1996.515;174.765;550.30
2002.465;176.119;479.30
2013.505;178.737;496.30
2018.515;180.007;527.70
2024.505;181.595;532.00
2029.515;182.910;475.70
2040.515;185.542;446.00
2046.015;186.514;425.00
2051.515;187.527;432.30
2057.535;188.849;471.00
2068.015;191.040;493.30
2073.515;192.312;487.70
2079.015;193.430;534.00
2084.515;194.493;564.30
2095.515;196.322;609.30
2101.015;197.184;627.30
2107.035;198.147;539.00
2112.535;199.056;538.70
2123.015;201.119;435.70
2128.515;202.308;462.00
2134.015;203.467;490.00
2139.515;204.504;487.00
2151.065;206.643;515.00
2156.015;207.543;532.30
2161.515;208.492;565.30
2167.015;209.418;579.30
2178.015;211.327;585.70
2183.515;212.335;573.70
2189.015;213.295;561.30
2194.515;214.186;505.70
2702.125;391.850;484.90
2710.925;395.601;590.10
2719.725;398.959;606.80
2728.525;402.021;653.20
2737.280;404.940;707.50
2748.325;408.552;709.70
2757.125;411.689;690.30
2761.995;413.554;619.70
2763.033;413.961;629.60
2763.725;414.237;628.10
2765.225;414.826;670.70
2766.330;415.253;668.20
2767.470;415.702;657.60
2768.725;416.197;654.80
2769.728;416.601;665.40
2770.728;417.007;673.90
2771.850;417.467;678.20
2772.525;417.748;689.10
2774.030;418.397;684.00
2775.105;418.900;671.80
2775.825;419.239;689.40
2776.925;419.752;665.20
2777.525;420.040;648.60
2778.428;420.471;622.20
2779.535;420.970;603.50
2780.633;421.416;605.20
2780.825;421.492;584.10
2781.205;421.641;497.50
2782.045;421.973;507.70
2782.873;422.321;456.60
2783.948;422.799;458.70
2785.033;423.309;411.50
2785.725;423.661;412.60
2787.230;424.515;405.70
2788.185;425.100;380.10
2789.445;425.938;393.60
2790.125;426.433;389.20
2791.225;427.338;391.50
2792.325;428.348;380.60
2793.425;429.366;380.60
2794.525;430.352;384.70
2795.625;431.341;394.70
2796.345;432.001;391.50
2797.825;433.397;404.50
2798.415;433.946;400.00
2799.525;434.975;437.50
2800.615;435.982;438.70
2801.085;436.403;439.00
2801.715;436.905;491.00
2802.160;437.253;427.30
2802.815;437.749;408.70
2803.260;438.091;452.00
2804.035;438.696;474.30
2804.385;438.983;506.30
2805.015;439.501;427.30
2806.115;440.394;388.70
2807.215;441.251;381.00
2808.325;442.146;383.70
2809.415;443.039;402.70
2810.515;443.926;426.30
2810.975;444.297;486.00
2811.615;444.803;467.70
2812.085;445.170;434.00
2812.725;445.641;412.40
2813.815;446.456;408.30
2814.915;447.330;398.00
2816.015;448.281;408.70
2816.485;448.702;424.30
2817.125;449.276;521.40
2817.585;449.692;463.00
2818.215;450.251;491.30
2819.345;451.194;447.70
2820.415;452.053;442.00
2821.525;452.989;490.90
2821.955;453.368;491.30
2822.615;453.966;429.70
2823.715;454.934;442.70
2824.815;455.871;482.30
2825.925;456.763;481.80
2827.015;457.539;440.00
2828.115;458.235;456.00
2829.215;458.958;474.70
2830.325;459.801;504.10
2831.415;460.622;517.00
2832.515;461.345;528.00
2833.615;462.035;496.00
2834.730;462.807;531.10
2835.185;463.140;503.70
2835.815;463.608;491.70
2836.915;464.385;504.30
2838.015;465.118;506.70
2839.125;465.842;516.40
2840.215;466.543;543.70
2841.315;467.249;543.00
2842.415;467.952;568.70
2843.525;468.656;582.60
2844.605;469.320;583.30
2845.715;469.981;615.30
2846.815;470.617;624.00
2847.925;471.246;587.50
2849.015;471.860;558.30
2850.105;472.477;584.00
2851.215;473.122;534.30
2852.325;473.794;500.50
2853.415;474.465;500.00
2854.515;475.143;517.00
2855.615;475.829;495.70
2856.725;476.532;514.30
2857.815;477.216;521.70
2858.915;477.907;516.30
2860.015;478.614;506.00
2861.125;479.326;509.10
2862.215;480.029;499.30
2863.315;480.757;495.70
2864.415;481.503;511.70
2865.555;482.286;521.90
2866.615;483.025;517.30
2867.715;483.784;515.30
2868.838;484.550;549.00
2869.925;485.279;566.40
2871.015;486.032;524.00
2872.115;486.821;579.30
2873.215;487.591;601.30
2874.325;488.356;573.20
2875.415;489.144;582.00
2876.515;489.993;556.70
2877.615;490.863;533.30
2878.725;491.741;519.60
2879.815;492.586;495.00
2880.915;493.436;487.00
2882.015;494.302;486.00
2883.125;495.177;488.30
2884.215;496.017;496.30
2885.315;496.853;507.00
2886.445;497.690;519.30
2886.885;498.013;482.70
2887.525;498.487;477.40
2887.985;498.828;501.30
2888.615;499.281;508.00
2889.715;500.062;507.30
2890.815;500.841;512.30
2891.925;501.621;499.10
2895.215;503.896;524.00
2896.325;504.655;521.90
2897.415;505.398;535.00
2898.515;506.189;516.00
2899.615;507.000;533.70
2900.725;507.833;517.80
2901.815;508.681;533.70
2902.915;509.530;538.00
2904.015;510.370;541.00
2905.125;511.202;528.90
2906.215;512.013;518.30
2906.685;512.351;519.70
2907.315;512.807;463.70
2908.415;513.633;440.70
2909.525;514.549;449.80
2910.615;515.508;420.30
2911.715;516.521;422.30
2912.815;517.578;458.00
2913.925;518.630;449.40
2915.045;519.689;490.30
2916.115;520.679;496.70
2916.585;521.117;467.30
2917.215;521.706;448.00
2917.685;522.147;415.30
2918.325;522.765;399.60
2919.415;523.843;391.00
2920.515;524.918;408.00
2921.615;525.986;404.70
2922.725;527.065;426.50
2923.815;528.193;418.30
2924.915;529.386;408.70
2926.015;530.542;390.00
2927.170;531.724;433.50
2928.215;532.764;456.30
2929.315;533.751;472.00
2930.415;534.710;477.30
2931.525;535.743;490.80
2931.985;536.185;443.00
2932.615;536.754;431.30
2933.715;537.701;471.30
2934.815;538.575;500.70
2935.925;539.379;519.40
2937.015;540.155;557.30
2938.115;540.980;577.70
2939.215;541.868;575.30
2940.425;542.915;530.70
2941.415;543.815;495.70
2942.515;544.886;442.70
2943.615;545.966;442.70
2944.725;547.002;467.90
2945.805;547.989;492.30
2946.915;548.976;501.30
2948.015;549.922;515.70
2948.485;550.327;510.70
2949.585;551.259;464.30
2950.735;552.215;483.70
2951.315;552.689;486.00
2952.415;553.549;497.00
2953.525;554.371;494.60
2954.615;555.180;532.30
2955.715;555.987;528.70
2956.815;556.795;554.00
2957.925;557.610;549.50
2959.015;558.377;579.00
2960.115;559.146;581.30
2961.225;559.932;589.30
2962.325;560.708;576.50
2963.415;561.459;627.00
2964.545;562.234;618.00
2965.615;562.961;626.00
2966.725;563.712;620.00
2967.815;564.459;603.30
2968.915;565.212;615.00
2970.015;565.955;613.00
2971.125;566.729;588.50
2972.215;567.495;590.00
2973.315;568.261;589.00
2974.415;569.019;587.70
2975.525;569.775;579.80
2976.615;570.522;597.00
2977.715;571.285;594.00
2978.845;572.077;610.30
2979.925;572.854;603.80
2981.015;573.628;614.00
2982.115;574.423;612.00
2983.215;575.233;613.30
2984.325;576.061;598.40
2985.425;576.869;619.50
2986.515;577.648;605.00
2987.615;578.436;600.00
2988.725;579.234;580.50
2989.815;580.036;589.30
2990.915;580.865;584.00
2992.015;581.685;596.70
2993.125;582.479;578.90
2994.215;583.210;602.00
2995.315;583.933;601.70
2996.415;584.649;618.30
2997.525;585.401;608.70
2997.985;585.723;520.70
2998.615;586.195;505.00
2999.715;587.078;484.30
3000.815;588.063;488.30
3001.925;589.189;482.40
3005.215;592.760;470.30
3006.325;594.012;451.20
3007.415;595.178;468.00
3008.515;596.228;480.30
3009.065;596.726;428.30
3010.725;598.347;483.00
3011.815;599.444;509.70
3012.915;600.491;538.70
3013.385;600.916;463.00
3014.015;601.480;448.30
3015.125;602.571;465.00
3015.585;603.081;495.70
3016.215;603.782;544.00
3017.325;605.006;534.30
3018.415;606.164;542.30
3019.525;607.304;525.90
3020.615;608.390;503.00
3021.715;609.463;532.70
3022.815;610.500;537.70
3023.925;611.482;577.90
3024.385;611.872;576.70
3025.015;612.401;582.70
3026.115;613.273;592.70
3027.215;614.114;619.70
3028.325;614.956;600.70
3029.415;615.760;620.30
3030.515;616.564;617.00
3031.615;617.370;611.00
3032.725;618.205;603.80
3033.815;619.056;602.30
3034.915;619.918;609.30
3035.385;620.286;626.70
3036.040;620.799;660.70
3036.485;621.145;618.30
3037.125;621.645;571.70
3037.585;622.011;572.70
3038.215;622.509;478.30
3038.685;622.873;474.00
3039.315;623.358;386.30
3040.415;624.238;355.70
3041.525;625.304;376.40
3042.615;626.618;360.70
3043.695;628.085;373.30
3044.815;629.664;373.00
3045.925;631.243;369.40
3046.385;631.909;386.30
3047.015;632.823;428.70
3048.115;634.345;428.70
3049.315;635.911;425.70
3050.325;637.217;414.40
3051.415;638.602;409.00
3052.515;640.007;396.70
3053.615;641.419;414.00
3054.065;641.987;398.30
3054.725;642.783;343.50
3055.815;644.129;359.30
3056.915;645.583;401.70
3058.015;647.130;384.30
3059.125;648.679;413.60
